"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
323,02-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,240,NA
323,02-06-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,12,181,NA
323,02-10-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,10,125,NA
323,13-02-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,149,NA
323,17-02-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,12,102,NA
323,20-02-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,252,NA
323,24-02-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,12,108,NA
323,28-02-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,11,195,NA
323,03-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,10,144,NA
323,03-06-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,162,NA
323,03-10-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,10,167,NA
323,13-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,131,NA
323,20-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,253,NA
323,24-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,171,NA
323,27-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,10,174,NA
323,04-03-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,10,186,NA
323,04-07-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,112,NA
323,04-10-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,12,146,NA
323,17-04-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,11,318,NA
323,21-04-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,11,148,NA
323,28-04-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,11,224,NA
323,05-05-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,9,139,NA
323,05-08-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,10,216,NA
323,05-12-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,229,NA
323,15-05-14,Uttar Pradesh,Agra,"Regional Office, Bodla, Agra",Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,9,123,NA
